All sizes are in kB. The pack column is the size of the object, compressed, inside the pack file.
size     pack     SHA                                       location
3174     3161     9e67839e814fe34fc01f3e6e6cf0d1ab0b6ecd7d  Saved_objects/randForest_dietKOs_model_prevThresh80.rds
2860     609      e6792d60f21ac06057e282fe3420f715db001f29  Input/kraken2_all_counts.txt
2852     2840     c4787760f959c22ae634dea139018d67c6af2e36  Saved_objects/randForest_dietKOs_model_prevThresh95.rds
2287     2274     aae81ac87089b1619bc340961e418571bccd98dc  Saved_objects/recipe_dietKOs_data_prevThresh0.rds
2244     2232     821a739805a25254f6ca4076cf822489539623a8  Saved_objects/recipe_dietKOs_data_prevThresh20.rds
2206     2195     bba7a35a3163023d4dc7a856142e04e0d099b6a2  Saved_objects/recipe_dietKOs_data_prevThresh40.rds
2137     2126     f00d02c119fd9fb8402c5dfdd46b831edfe79f8f  Saved_objects/recipe_dietKOs_data_prevThresh60.rds
2035     2032     7086fce020f6aded10c93c7f5846685ad2b692b3  Saved_objects/recipe_dietKOs_data_prevThresh80.rds
1816     1813     61d3991b100d5a8f68064e4bf61eefdcd71ecf44  Saved_objects/recipe_dietKOs_data_prevThresh95.rds
1354     1346     efaafbf889445b500641bb8896bf1a0dc5369a17  Saved_objects/list_full_interactions_dbRDAs.rds
1252     1248     54f96c83cfda1d8e7698efad704728ee50dc09b8  Saved_objects/list_selected_interactions_dbRDAs.rds
1159     1014     fb61b70f437a4c45dad3098f0c1cf83bd7432dc8  Plots/diet_by_covars_rf_sig_impt_features_table.png
1118     1118     5e74da97fad1c0ad6cec50ebc1b089d44541f01c  Saved_objects/phyloseq_with_ko-collapsed_contig_counts.rds
1092     1075     9f44662ead7f71e56a06c8b5cfdec6cfc77798bb  Saved_objects/list_full_interactions_dbRDAs_ceramide.rds
1067     1066     af1a9f3158d5f0963d2985a047938c3c35cd3cbb  Saved_objects/lists_full_dbRDAs.rds
1026     1025     a80167d3fd1301eef86cc4d52a56ecfa1a4a54f4  Saved_objects/list_selected_dbRDAs_with_dietTreatment.rds
1009     1008     1a88a1fbb79573fb09be27b31e45fe8c38a36b41  Saved_objects/lists_selected_dbRDAs.rds
1003     994      161b3b370b657270e6f493bdcfa5c3883abe08e6  Saved_objects/list_selected_interactions_dbRDAs_ceramide.rds
905      905      3c51d6e79d1289aeb7bbfed66b4e19638d9eeb79  Saved_objects/lists_full_dbRDAs_ceramide.rds
865      864      20dfcf813e6f9da9746342daab575cebdfe44973  Saved_objects/list_selected_dbRDAs_with_dietTreatment_ceramide.rds
850      849      a24d5c39ee1a1c77a93517b37783fac327ee481d  Saved_objects/lists_selected_dbRDAs_ceramide.rds
519      519      52efd2dc3f623bfd8953bea934add4c31f089757  Saved_objects/list_igc_selected_dbRDAs.rds
